Title,URL,Remarks
Electric Charge Video,https://www.youtube.com/watch?v=DvlpAsDwXPY,Useful video about charges
Current and Voltage,https://www.youtube.com/watch?v=1xPjES-sHwg,useful video for current and voltage.
Ohm's Law,https://www.youtube.com/watch?v=J4Vq-xHqUo8,useful video about Ohm's Law
"Calculating voltage, current and KVL",https://www.youtube.com/watch?v=ubnFqfYN3rU,Good video
Series and Parallel Circuits,https://www.youtube.com/watch?v=x2EuYqj_0Uk,good video for series and parallel circuits
KVL,https://www.youtube.com/watch?v=paDs-Hnmklo,good video
KCL,https://www.youtube.com/watch?v=Rgl4OAm9tnU,good video
Nodal analysis,https://www.youtube.com/watch?v=D2PhEJFoPMM,good video
Superposition,https://www.youtube.com/watch?v=wGlILM2a3CU,"There is a small mistake, try to find it."
Thevinen Theorem,https://www.youtube.com/watch?v=8RQjA_dMIfw,good video
Resistor vs Capacitor,https://www.youtube.com/watch?v=58PzPrjGsG8,good video
Finding a Voltage across a Capacitor,https://www.youtube.com/watch?v=X2wYggM_kNw,good video
Electromagnetic Induction,https://www.youtube.com/watch?v=jeTmIa00_rc,Good video
Magnetic Field of a wire,https://www.youtube.com/watch?v=nfSJ62mzKyY,good video
Inductor with a switch,https://www.youtube.com/watch?v=YKKd5p4a5Lo,
AC/DC Generation,https://www.youtube.com/watch?v=ATFqX2Cl3-w,good video
AC Waveform Analysis,https://www.youtube.com/watch?v=98FgWHu2eI4,good video.
Impedance part 1,https://www.youtube.com/watch?v=xyMH8wKK-Ag,very good video
Impedance part 2,https://www.youtube.com/watch?v=tZBMfDvWF4U,very good video
Rectangualr to Polar Form of Complex Numbers,https://www.youtube.com/watch?v=8RasCV_Lggg,good video
(Excellent video from Khan Academy - not related to ENGG104),https://www.youtube.com/watch?v=Q7VrfzxLxuk,"This is not specifically related to week 10 work, just an excellent talk that I think would be helpful to your career."
Polar & rectangular forms of complex numbers,https://www.khanacademy.org/math/precalculus/imaginary-and-complex-numbers/polar-form-of-complex-numbers/v/polar-form-complex-number,Excellent video from Khan Academy about complex numbers.
